domain,method,uri,name,action,middleware/0,middleware/1
,GET|HEAD,/,,Closure,web,
,POST,_ignition/execute-solution,ignition.executeSolution,Spatie\LaravelIgnition\Http\Controllers\ExecuteSolutionController,Spatie\LaravelIgnition\Http\Middleware\RunnableSolutionsEnabled,
,GET|HEAD,_ignition/health-check,ignition.healthCheck,Spatie\LaravelIgnition\Http\Controllers\HealthCheckController,Spatie\LaravelIgnition\Http\Middleware\RunnableSolutionsEnabled,
,POST,_ignition/update-config,ignition.updateConfig,Spatie\LaravelIgnition\Http\Controllers\UpdateConfigController,Spatie\LaravelIgnition\Http\Middleware\RunnableSolutionsEnabled,
,GET|HEAD,api/favorites,properties.favorites,App\Http\Controllers\PropertiesController@favorites,api,App\Http\Middleware\Authenticate:sanctum
,POST,api/login,login,App\Http\Controllers\AuthController@login,api,
,POST,api/logout,,App\Http\Controllers\AuthController@logout,api,App\Http\Middleware\Authenticate:sanctum
,GET|HEAD,api/myproperties,my_properties,App\Http\Controllers\PropertiesController@my_properties_index,api,App\Http\Middleware\Authenticate:sanctum
,GET|HEAD,api/properties,properties.index,App\Http\Controllers\PropertiesController@index,api,App\Http\Middleware\Authenticate:sanctum
,POST,api/properties,properties.store,App\Http\Controllers\PropertiesController@store,api,App\Http\Middleware\Authenticate:sanctum
,GET|HEAD,api/properties/create,properties.create,App\Http\Controllers\PropertiesController@create,api,App\Http\Middleware\Authenticate:sanctum
,POST,api/properties/{post}/favorite,properties.favorite,App\Http\Controllers\PropertiesController@change_favorite_state,api,App\Http\Middleware\Authenticate:sanctum
,GET|HEAD,api/properties/{property},properties.show,App\Http\Controllers\PropertiesController@show,api,App\Http\Middleware\Authenticate:sanctum
,PUT|PATCH,api/properties/{property},properties.update,App\Http\Controllers\PropertiesController@update,api,App\Http\Middleware\Authenticate:sanctum
,DELETE,api/properties/{property},properties.destroy,App\Http\Controllers\PropertiesController@destroy,api,App\Http\Middleware\Authenticate:sanctum
,GET|HEAD,api/properties/{property}/edit,properties.edit,App\Http\Controllers\PropertiesController@edit,api,App\Http\Middleware\Authenticate:sanctum
,GET|HEAD,api/properties/{property}/images,images.index,App\Http\Controllers\PropertyImagesController@index,api,App\Http\Middleware\Authenticate:sanctum
,POST,api/properties/{property}/images,images.store,App\Http\Controllers\PropertyImagesController@store,api,App\Http\Middleware\Authenticate:sanctum
,GET|HEAD,api/properties/{property}/images/create,images.create,App\Http\Controllers\PropertyImagesController@create,api,App\Http\Middleware\Authenticate:sanctum
,GET|HEAD,api/properties/{property}/images/{image},images.show,App\Http\Controllers\PropertyImagesController@show,api,App\Http\Middleware\Authenticate:sanctum
,PUT|PATCH,api/properties/{property}/images/{image},images.update,App\Http\Controllers\PropertyImagesController@update,api,App\Http\Middleware\Authenticate:sanctum
,DELETE,api/properties/{property}/images/{image},images.destroy,App\Http\Controllers\PropertyImagesController@destroy,api,App\Http\Middleware\Authenticate:sanctum
,GET|HEAD,api/properties/{property}/images/{image}/edit,images.edit,App\Http\Controllers\PropertyImagesController@edit,api,App\Http\Middleware\Authenticate:sanctum
,POST,api/register,register,App\Http\Controllers\AuthController@register,api,
,POST,api/verification,verification,App\Http\Controllers\AuthController@verification,api,
,GET|HEAD,sanctum/csrf-cookie,sanctum.csrf-cookie,Laravel\Sanctum\Http\Controllers\CsrfCookieController@show,web,
,GET|HEAD,sendSMS,,App\Http\Controllers\AuthController@sendSMS,web,
,GET|HEAD,sendSMS1,,App\Http\Controllers\AuthController@index,web,
